operation_id,fecha_score,proyecto,asesor_id,canal,riesgo_caida,prioridad,sla_horas,valor_esperado_en_riesgo,accion_recomendada,ranking_prioridad,data_mode
OP_BBB80946E0,2026-07-05,Edificio Mariategui,ASESOR_950BED165C,sin_clasificar,0.617538,P1,24,52737.83,Contactar en 24h y confirmar siguiente hito de cierre.,39,real_source:ranking_operaciones_riesgo_caida.parquet
OP_8A5B405982,2026-07-05,Sialia,ASESOR_950BED165C,sin_clasificar,0.617486,P1,24,54435.52,Contactar en 24h y confirmar siguiente hito de cierre.,26,real_source:ranking_operaciones_riesgo_caida.parquet
OP_A5B24DFB71,2026-07-05,Capadocia,ASESOR_E5897908D5,sin_clasificar,0.616564,P1,24,69363.5,Contactar en 24h y confirmar siguiente hito de cierre.,10,real_source:ranking_operaciones_riesgo_caida.parquet
OP_09354A32FF,2026-07-05,Alicanto,ASESOR_950BED165C,sin_clasificar,0.615247,P1,24,56970.86,Contactar en 24h y confirmar siguiente hito de cierre.,20,real_source:ranking_operaciones_riesgo_caida.parquet
OP_B9CA6C83C4,2026-07-05,Tradiciones Prime,ASESOR_950BED165C,sin_clasificar,0.615231,P1,24,75845.0,Contactar en 24h y confirmar siguiente hito de cierre.,7,real_source:ranking_operaciones_riesgo_caida.parquet
OP_9ECA90CCDD,2026-07-05,Sialia,ASESOR_9FCF63DC91,sin_clasificar,0.615124,P1,24,22720.21,Contactar en 24h y confirmar siguiente hito de cierre.,489,real_source:ranking_operaciones_riesgo_caida.parquet
OP_679136536C,2026-07-05,Tizón y Bueno,ASESOR_233077BA7F,sin_clasificar,0.614582,P1,24,55128.03,Contactar en 24h y confirmar siguiente hito de cierre.,23,real_source:ranking_operaciones_riesgo_caida.parquet
OP_FB49869900,2026-07-05,Edificio Mariategui,ASESOR_1265C8A465,sin_clasificar,0.613096,P1,24,59155.19,Contactar en 24h y confirmar siguiente hito de cierre.,16,real_source:ranking_operaciones_riesgo_caida.parquet
OP_FE6B6F5197,2026-07-05,Tizón y Bueno,ASESOR_E5897908D5,sin_clasificar,0.609551,P1,24,54139.93,Contactar en 24h y confirmar siguiente hito de cierre.,30,real_source:ranking_operaciones_riesgo_caida.parquet
OP_87FFD2B963,2026-07-05,Capadocia,ASESOR_E5897908D5,sin_clasificar,0.609292,P1,24,78141.68,Contactar en 24h y confirmar siguiente hito de cierre.,5,real_source:ranking_operaciones_riesgo_caida.parquet
OP_BCEFB0FE03,2026-07-05,Edificio Mariategui,ASESOR_1265C8A465,sin_clasificar,0.606134,P1,24,53184.77,Contactar en 24h y confirmar siguiente hito de cierre.,36,real_source:ranking_operaciones_riesgo_caida.parquet
